2017-03-31,BSCO,7500000,20.517100,0.000000
2017-03-31,BSCP,3000000,20.267400,0.000000
2017-03-31,BSCQ,1350000,19.249800,0.000000
2017-03-31,BSJH,23100000,25.831700,0.000000
2017-03-31,BSJI,42700000,25.262700,5051460.000000
2017-03-31,BSJJ,27600000,24.428700,0.000000
2017-03-31,BSJK,16600000,24.593400,0.000000
2017-03-31,BSJL,5800000,24.909600,0.000000
2017-03-31,BSJM,4400000,25.255800,0.000000
2017-03-31,BSJN,1400000,26.680800,0.000000
2017-03-31,BSJO,800000,25.375300,0.000000
2017-03-31,BSV,270612541,79.690000,0.000000
2017-03-31,BSWN,1129900,22.863800,0.000000
2017-03-31,BTAL,400001,19.764300,0.000000
2017-03-31,BTEC,250000,26.806700,0.000000
2017-03-31,BUZ,150002,27.491500,0.000000
2017-03-31,BWV,127000,72.150000,0.000000
2017-03-31,BWX,43300038,26.614500,0.000000
2017-03-31,BWZ,6000000,30.222500,0.000000
2017-03-31,BYLD,700000,24.827200,0.000000
2017-03-31,BZF,1200000,18.116100,0.000000
2017-03-31,BZQ,2749902,13.600000,0.000000
2017-03-31,CAFE,341000,14.180000,0.000000
2017-03-31,CANE,375004,11.794000,0.000000
2017-03-31,CAPE,522000,103.330000,0.000000
2017-03-31,CARZ,550002,36.040000,0.000000
2017-03-31,CATH,3100000,28.560000,0.000000
2017-03-31,CBND,1000000,31.810800,0.000000
2017-03-31,CBON,300000,22.253000,0.000000
2017-03-31,CDC,9600000,42.560000,2146000.000000
2017-03-31,CDL,2450000,41.730000,0.000000
2017-03-31,CEFL,13875000,17.500000,0.000000
2017-03-31,CEW,2500000,18.371900,0.000000
2017-03-31,CEZ,1100000,26.960000,0.000000
2017-03-31,CFA,5100000,42.480000,0.000000
2017-03-31,CFO,7500000,42.420000,4265000.000000
2017-03-31,CGW,16040000,30.998500,0.000000
2017-03-31,CHAD,2150000,39.554700,0.000000
2017-03-31,CHAU,2850000,19.418800,0.000000
2017-03-31,CHEP,100000,26.482900,0.000000
2017-03-31,CHIE,150000,10.840000,0.000000
2017-03-31,CHII,250000,14.250000,0.000000
2017-03-31,CHIM,199971,16.550000,0.000000
2017-03-31,CHIQ,5750000,13.280000,0.000000
2017-03-31,CHIX,1950000,14.360000,0.000000
2017-03-31,CHOC,132000,30.860000,0.000000
2017-03-31,CIBR,9800002,21.490000,-3256500.000000
2017-03-31,CID,850000,33.340000,0.000000
2017-03-31,CIL,350000,35.350000,0.000000
2017-03-31,CIU,62500000,108.868500,0.000000
2017-03-31,CIZ,1650000,30.600000,0.000000
2017-03-31,CJNK,1700000,26.101400,0.000000
2017-03-31,CLAW,150000,18.949000,0.000000
2017-03-31,CLTL,3520001,105.418800,0.000000
2017-03-31,CLY,13500000,59.195000,0.000000
2017-03-31,CLYH,450000,25.044800,0.000000
2017-03-31,CMBS,4450000,51.144600,0.000000
2017-03-31,CMDT,650000,35.943900,0.000000
2017-03-31,CMF,6250000,116.110900,0.000000
2017-03-31,CN,150001,29.148000,0.000000
2017-03-31,CNCR,1200000,24.000000,0.000000
2017-03-31,CNDA,650000,17.227600,0.000000
2017-03-31,CNHX,50000,25.890000,0.000000
2017-03-31,CNTR,100001,30.078800,0.000000
2017-03-31,CNXT,800000,30.153000,0.000000
2017-03-31,CNY,365000,40.840000,0.000000
2017-03-31,COBO,65001,100.640000,0.000000
2017-03-31,COM,0,25.040000,0.000000
2017-03-31,COMT,4900000,33.430000,0.000000
2017-03-31,COPX,2099374,22.800000,0.000000
2017-03-31,CORN,3625004,19.012700,0.000000
2017-03-31,CORP,6830000,103.079700,0.000000
2017-03-31,COW,523000,22.150000,0.000000
2017-03-31,CPER,850000,17.314200,0.000000
2017-03-31,CPI,1050000,27.173900,0.000000
2017-03-31,CQQQ,1600000,41.762200,0.000000
2017-03-31,CRAK,150000,22.500800,0.000000
2017-03-31,CRBN,3500000,103.776200,0.000000
2017-03-31,CRDT,100000,73.880000,0.000000
2017-03-31,CRED,11850000,109.700300,0.000000
2017-03-31,CROC,300000,48.854300,0.000000
2017-03-31,CROP,450000,32.399100,0.000000
2017-03-31,CSA,550000,41.020000,0.000000
2017-03-31,CSB,750000,39.940000,0.000000
2017-03-31,CSCR,78000,13.500000,0.000000
2017-03-31,CSD,4350000,45.854200,0.000000
2017-03-31,CSF,1150000,40.150000,0.000000
2017-03-31,CSJ,108600000,105.119400,0.000000
2017-03-31,CSLS,538000,27.110000,0.000000
2017-03-31,CTNN,35000,31.870000,0.000000
2017-03-31,CUMB,950004,25.084200,0.000000
2017-03-31,CUPM,22000,29.460000,0.000000
2017-03-31,CURE,4550008,34.498100,0.000000
2017-03-31,CUT,6950000,26.352600,0.000000
2017-03-31,CVY,18450800,20.701200,0.000000
2017-03-31,CWAI,100000,24.990300,0.000000
2017-03-31,CWB,72800000,48.002800,0.000000
2017-03-31,CWEB,100001,28.768600,0.000000
2017-03-31,CWI,35600000,33.981000,0.000000
2017-03-31,CWS,400000,27.707900,0.000000
2017-03-31,CXSE,150000,57.000000,0.000000
2017-03-31,CYB,1500000,24.124600,0.000000
2017-03-31,CZA,2800000,58.239400,0.000000
2017-03-31,DAG,2383100,3.350100,0.000000
2017-03-31,DAX,450000,27.100000,0.000000
2017-03-31,DBA,36800040,19.754300,0.000000
2017-03-31,DBAP,150001,25.088900,0.000000
2017-03-31,DBAU,150001,27.231400,0.000000
2017-03-31,DBAW,3650001,25.254600,0.000000
2017-03-31,DBB,17200040,16.380700,0.000000
2017-03-31,DBBR,400800,10.975500,0.000000
2017-03-31,DBC,160200000,15.150000,0.000000
2017-03-31,DBE,11600040,12.586300,0.000000
2017-03-31,DBEF,282350800,29.549700,0.000000
2017-03-31,DBEM,8750800,20.589800,0.000000
2017-03-31,DBEU,86550001,27.050000,0.000000
2017-03-31,DBEZ,1800001,28.898900,0.000000
2017-03-31,DBGR,2600800,27.117000,0.000000
